Fecha,m,y,i,p,remes,tc
dic-10,693423.114000 ,95.596200 ,4.300000 ,74.930954 ,1721.827000 ,12.388500 
ene-11,648030.446000 ,90.205600 ,4.140000 ,75.295991 ,1403.169400 ,12.125800 
feb-11,638281.570000 ,88.569000 ,4.040000 ,75.578460 ,1651.056600 ,12.070300 
mar-11,634711.772000 ,95.829300 ,4.270000 ,75.723451 ,2055.912500 ,11.999200 
abr-11,645582.013000 ,91.600200 ,4.280000 ,75.717441 ,1880.894800 ,11.718400 
may-11,637597.245000 ,95.946300 ,4.310000 ,75.159264 ,2168.507800 ,11.653300 
jun-11,635323.256000 ,96.488600 ,4.370000 ,75.155508 ,2022.311200 ,11.806000 
jul-11,645656.105000 ,95.218000 ,4.140000 ,75.516107 ,1906.707800 ,11.672600 
ago-11,635301.021000 ,96.539000 ,4.050000 ,75.635555 ,2143.895600 ,12.231900 
sep-11,643273.709000 ,94.102000 ,4.230000 ,75.821113 ,2085.970300 ,13.044500 
oct-11,651531.413000 ,97.437600 ,4.360000 ,76.332712 ,1912.640100 ,13.435000 
nov-11,675504.053000 ,101.082800 ,4.350000 ,77.158333 ,1785.873900 ,13.699300 
dic-11,763490.940000 ,98.814800 ,4.340000 ,77.792385 ,1786.031600 ,13.768900 
ene-12,724693.774000 ,94.675000 ,4.270000 ,78.343049 ,1506.326400 ,13.417800 
feb-12,711443.511000 ,94.079400 ,4.320000 ,78.502314 ,1788.234600 ,12.783100 
mar-12,723848.484000 ,99.091400 ,4.240000 ,78.547389 ,2091.665500 ,12.756700 
abr-12,732243.958000 ,95.479200 ,4.290000 ,78.300980 ,2031.503300 ,13.069700 
may-12,742959.467000 ,100.314700 ,4.390000 ,78.053819 ,2342.505300 ,13.663400 
jun-12,748818.171000 ,99.685200 ,4.340000 ,78.413667 ,2096.139500 ,13.919200 
jul-12,747220.613000 ,99.310300 ,4.150000 ,78.853897 ,1862.701400 ,13.366100 
ago-12,737859.785000 ,99.098700 ,4.130000 ,79.090540 ,1889.655800 ,13.184500 
sep-12,728580.289000 ,95.188900 ,4.170000 ,79.439119 ,1661.584200 ,12.939400 
oct-12,740223.965000 ,101.859300 ,4.210000 ,79.841036 ,1771.310800 ,12.891000 
nov-12,758617.346000 ,104.387200 ,4.290000 ,80.383437 ,1692.252900 ,13.074600 
dic-12,845395.608000 ,100.531900 ,4.050000 ,80.568243 ,1704.442300 ,12.870500 
ene-13,787097.788000 ,97.967400 ,4.150000 ,80.892782 ,1530.949300 ,12.699000 
feb-13,778364.154000 ,94.671800 ,4.190000 ,81.290943 ,1653.793300 ,12.722900 
mar-13,803483.379000 ,97.067300 ,3.980000 ,81.887433 ,1855.585600 ,12.524700 
abr-13,764627.974000 ,99.919900 ,3.820000 ,81.941523 ,1990.628900 ,12.205000 
may-13,772198.529000 ,102.280500 ,3.720000 ,81.668820 ,2105.170700 ,12.311500 
jun-13,773244.201000 ,99.522500 ,3.780000 ,81.619238 ,2001.229600 ,12.959600 
jul-13,769509.433000 ,100.810400 ,3.850000 ,81.592193 ,1890.277200 ,12.765900 
ago-13,769244.753000 ,100.273200 ,3.840000 ,81.824328 ,1953.630400 ,12.917800 
sep-13,769835.448000 ,96.805900 ,3.640000 ,82.132340 ,1828.327400 ,13.075900 
oct-13,779988.436000 ,103.667800 ,3.390000 ,82.522988 ,1911.998300 ,12.999200 
nov-13,821135.896000 ,104.228300 ,3.390000 ,83.292265 ,1731.663700 ,13.079600 
dic-13,917875.175000 ,102.785000 ,3.290000 ,83.770058 ,1849.496600 ,13.007600 
ene-14,869142.994000 ,98.692200 ,3.140000 ,84.519052 ,1642.223200 ,13.223000 
feb-14,864384.885000 ,96.926600 ,3.160000 ,84.733157 ,1719.244500 ,13.280800 
mar-14,858037.679000 ,101.107400 ,3.170000 ,84.965292 ,2098.259200 ,13.195100 
abr-14,873152.161000 ,100.322900 ,3.230000 ,84.806779 ,1976.367300 ,13.070800 
may-14,875565.293000 ,104.897800 ,3.280000 ,84.535579 ,2146.954300 ,12.924700 
jun-14,875844.658000 ,102.807600 ,3.020000 ,84.682072 ,2043.455300 ,12.995800 
jul-14,887166.515000 ,104.039500 ,2.830000 ,84.914959 ,1998.184800 ,12.990400 
ago-14,886285.426000 ,101.749500 ,2.770000 ,85.219965 ,2004.331000 ,13.140600 
sep-14,883140.826000 ,100.004300 ,2.830000 ,85.596340 ,1965.067400 ,13.235200 
oct-14,908610.791000 ,106.894500 ,2.900000 ,86.069626 ,2042.137700 ,13.476300 
nov-14,944939.081000 ,106.436700 ,2.850000 ,86.763778 ,1776.046400 ,13.621600 
dic-14,1062892.005000 ,107.008600 ,2.810000 ,87.188984 ,2235.012700 ,14.512900 
ene-15,1024724.921000 ,102.298400 ,2.670000 ,87.110103 ,1626.826500 ,14.692600 
feb-15,1025434.231000 ,99.923900 ,2.810000 ,87.275377 ,1842.517400 ,14.921300 
mar-15,1064272.698000 ,104.732400 ,3.040000 ,87.630717 ,2254.273200 ,15.228300 
abr-15,1046381.607000 ,103.643100 ,2.970000 ,87.403840 ,2006.188200 ,15.226200 
may-15,1057903.659000 ,106.148800 ,2.980000 ,86.967366 ,2191.058700 ,15.264500 
jun-15,1054390.499000 ,107.057700 ,2.960000 ,87.113108 ,2156.008700 ,15.483000 
jul-15,1071939.313000 ,107.280800 ,2.990000 ,87.240820 ,2234.885100 ,15.939600 
ago-15,1078993.591000 ,105.381500 ,3.040000 ,87.424875 ,2253.148700 ,16.536800 
sep-15,1072556.866000 ,104.879900 ,3.100000 ,87.752419 ,2055.132400 ,16.857800 
oct-15,1095608.243000 ,109.277800 ,3.020000 ,88.203919 ,2068.816100 ,16.564000 
nov-15,1118916.442000 ,108.894400 ,3.020000 ,88.685468 ,1895.181300 ,16.635700 
dic-15,1239327.041000 ,109.870200 ,3.140000 ,89.046818 ,2200.736300 ,17.066600 
ene-16,1203744.198000 ,104.577200 ,3.080000 ,89.386381 ,1932.497900 ,18.072800 
feb-16,1190668.406000 ,104.855000 ,3.360000 ,89.777781 ,2082.215100 ,18.473100 
mar-16,1214340.926000 ,105.990400 ,3.800000 ,89.910001 ,2191.136300 ,17.649000 
abr-16,1200801.859000 ,107.347800 ,3.740000 ,89.625278 ,2171.301500 ,17.487700 
may-16,1221642.781000 ,109.157200 ,3.810000 ,89.225615 ,2478.210100 ,18.154200 
jun-16,1235273.746000 ,110.378500 ,3.810000 ,89.324028 ,2312.313600 ,18.653000 
jul-16,1251299.734000 ,107.775300 ,4.210000 ,89.556914 ,2248.624800 ,18.601400 
ago-16,1243634.166000 ,109.164500 ,4.240000 ,89.809333 ,2269.288800 ,18.474900 
sep-16,1251257.900000 ,106.306000 ,4.280000 ,90.357744 ,2374.070700 ,19.192400 
oct-16,1266174.904000 ,110.954300 ,4.690000 ,90.906154 ,2220.197100 ,18.892400 
nov-16,1306229.771000 ,114.056300 ,5.150000 ,91.616834 ,2370.965500 ,20.118500 
dic-16,1419753.503000 ,113.492800 ,5.610000 ,92.039035 ,2342.460200 ,20.520600 
ene-17,1382790.720000 ,108.697400 ,5.830000 ,93.603882 ,2147.896200 ,21.385300 
feb-17,1367859.767000 ,105.479600 ,6.060000 ,94.144780 ,2141.928600 ,20.290500 
mar-17,1369314.609000 ,111.970500 ,6.320000 ,94.722489 ,2618.435600 ,19.301000 
abr-17,1378915.378000 ,106.496200 ,6.500000 ,94.838933 ,2404.448500 ,18.787500 
may-17,1374295.827000 ,112.888700 ,6.560000 ,94.725494 ,2694.825200 ,18.755700 
jun-17,1371216.535000 ,113.154900 ,6.820000 ,94.963640 ,2552.346700 ,18.132600 
jul-17,1369986.826000 ,109.128700 ,6.990000 ,95.322736 ,2599.978500 ,17.828300 
ago-17,1353026.215000 ,111.979900 ,6.940000 ,95.793768 ,2617.607300 ,17.807000 
sep-17,1352869.144000 ,106.682200 ,6.990000 ,96.093515 ,2489.214000 ,17.835700 
oct-17,1368872.328000 ,112.700300 ,7.030000 ,96.698269 ,2842.502800 ,18.816100 
nov-17,1405915.353000 ,115.929900 ,7.020000 ,97.695174 ,2420.810400 ,18.915800 
dic-17,1542611.150000 ,114.774800 ,7.170000 ,98.272883 ,2760.551300 ,19.181200 
ene-18,1481027.340000 ,110.856800 ,7.250000 ,98.795000 ,2267.623000 ,18.907400 
feb-18,1475977.346000 ,107.813600 ,7.400000 ,99.171374 ,2244.442900 ,18.644900 
mar-18,1519655.129000 ,111.174700 ,7.470000 ,99.492157 ,2674.857500 ,18.630800 
abr-18,1492536.593000 ,111.251800 ,7.460000 ,99.154847 ,2760.945500 ,18.387200 
may-18,1502800.404000 ,115.395900 ,7.510000 ,98.994080 ,3155.952000 ,19.591000 
jun-18,1532412.481000 ,114.460600 ,7.640000 ,99.376465 ,3140.665300 ,20.303200 
jul-18,1526363.143000 ,112.865400 ,7.730000 ,99.909099 ,2858.003700 ,19.009500 
ago-18,1518453.527000 ,113.973900 ,7.730000 ,100.492000 ,2883.364000 ,18.857500 
sep-18,1506101.408000 ,108.837600 ,7.690000 ,100.917000 ,2718.097500 ,19.015400 
oct-18,1525826.761000 ,115.950100 ,7.690000 ,101.440000 ,3017.333900 ,19.185900 
nov-18,1564619.117000 ,118.037300 ,7.830000 ,102.303000 ,2964.771100 ,20.261200 
dic-18,1673205.362000 ,114.802500 ,8.020000 ,103.020000 ,2991.170800 ,20.111200 
ene-19,1602739.439000 ,112.138600 ,7.950000 ,103.108000 ,2455.587500 ,19.165100 
feb-19,1577930.231000 ,108.855900 ,7.930000 ,103.079000 ,2438.398600 ,19.204900 
mar-19,1559571.976000 ,112.649200 ,8.020000 ,103.476000 ,2957.970700 ,19.247700 
